GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WC,com.lyb.util,FileUtils,3,132,0,10,1,26,1,8,1,3
WC,com.lyb.processor,WordProcessor,0,69,0,8,0,20,0,6,0,2
WC,com.lyb.processor,LineProcessor,0,56,0,6,0,16,0,5,0,2
WC,com.lyb.processor,NumberOfCharProcessor,0,67,0,6,0,17,0,5,0,2
WC,com.lyb.processor,RecursiveProcessor,0,125,0,14,0,27,0,9,0,2
WC,com.lyb.processor,ComplexProcessor,0,165,6,24,0,41,6,11,0,2
WC,com.lyb.Factory,FileProcessorFactory,3,29,0,5,1,7,1,5,1,1
WC,com.lyb.bean,ErrorResult,15,18,0,0,5,6,3,3,3,3
WC,com.lyb.bean,FileResult,30,48,2,2,5,11,2,5,1,4
WC,com.intellij.uiDesigner.core,DimensionInfo,502,0,84,0,105,0,58,0,16,0
WC,com.intellij.uiDesigner.core,AbstractLayout,388,0,36,0,83,0,38,0,20,0
WC,com.intellij.uiDesigner.core,HorizontalInfo,37,0,0,0,10,0,9,0,9,0
WC,com.intellij.uiDesigner.core,VerticalInfo,37,0,0,0,10,0,9,0,9,0
WC,com.intellij.uiDesigner.core,SupportCode.TextWithMnemonic,59,0,10,0,11,0,7,0,2,0
WC,com.intellij.uiDesigner.core,GridConstraints,848,0,102,0,154,0,87,0,36,0
WC,com.intellij.uiDesigner.core,Spacer,12,0,0,0,3,0,3,0,3,0
WC,com.intellij.uiDesigner.core,GridLayoutManager,2304,0,262,0,433,0,181,0,50,0
WC,com.intellij.uiDesigner.core,SupportCode,89,0,10,0,22,0,8,0,3,0
WC,com.intellij.uiDesigner.core,Util,315,0,46,0,59,0,31,0,8,0
WC,com.intellij.uiDesigner.core,LayoutState,99,0,6,0,21,0,9,0,6,0
WC,com.lyb,window,48,0,0,0,14,0,2,0,2,0
WC,com.lyb,window.new MouseAdapter() {...},106,0,8,0,16,0,7,0,3,0
WC,com.lyb.enums,ErrorTypeEnum,0,37,0,0,0,7,0,3,0,3
